year,month,rank_ME,rank_IA,rank_ROE,nstocks,ret_vw,retx_vw
1969,1,1,1,3,63,0.1053,0.0300
1969,1,1,2,1,82,0.7330,0.5387
1969,1,1,2,2,61,-0.9000,-1.1066
1969,1,1,2,3,51,-2.1152,-2.1898
1969,1,1,3,1,65,-3.7061,-3.7681
1969,1,1,3,2,58,-4.1917,-4.2470
1969,1,1,3,3,90,-0.5973,-0.6746
1969,1,2,1,1,30,-1.5692,-2.0883
1969,1,2,1,2,47,-0.8164,-1.0087
1969,1,2,1,3,18,-0.8702,-0.8896
1969,1,2,2,1,48,-1.0697,-1.3803
1969,1,2,2,2,106,0.9070,0.8171
1969,1,2,2,3,50,-1.9082,-1.9611
1969,1,2,3,1,17,-1.0364,-1.0416
1969,1,2,3,2,61,-1.0629,-1.1113
1969,1,2,3,3,79,-3.0687,-3.1063
1969,2,1,1,1,144,-9.6361,-9.9120
1969,2,1,1,2,71,-7.7228,-8.0461
1969,2,1,1,3,62,-9.7862,-9.9318
1969,2,1,2,1,77,-8.1519,-8.4327
1969,2,1,2,2,62,-7.0433,-7.3617
1969,2,1,2,3,54,-7.7397,-7.8784
1969,2,1,3,1,63,-11.0721,-11.1667
1969,2,1,3,2,63,-10.1859,-10.3347
1969,2,1,3,3,85,-7.9799,-8.0926
1969,2,2,1,1,35,-2.6150,-3.3242
1969,2,2,1,2,47,-5.3513,-5.9818
1969,2,2,1,3,13,-4.8699,-5.7132
1969,2,2,2,1,48,-7.2065,-7.7504
1969,2,2,2,2,98,-4.2804,-4.8142
1969,2,2,2,3,59,-4.8007,-5.1088
1969,2,2,3,1,22,-6.6640,-7.3299
1969,2,2,3,2,56,-4.4805,-4.9869
1969,2,2,3,3,80,-4.3225,-4.5200
1969,3,1,1,1,141,0.5948,0.4016
1969,3,1,1,2,74,3.0965,2.8450
1969,3,1,1,3,64,4.8364,4.5489
1969,3,1,2,1,76,2.1593,2.0149
1969,3,1,2,2,65,2.0727,1.9152
1969,3,1,2,3,52,4.2791,4.1261
1969,3,1,3,1,67,0.2850,0.1610
1969,3,1,3,2,61,3.4754,3.3528
1969,3,1,3,3,88,3.4523,3.3071
1969,3,2,1,1,34,3.7251,3.6989
1969,3,2,1,2,47,2.8788,2.7567
1969,3,2,1,3,14,2.5196,2.3866
1969,3,2,2,1,54,1.7425,1.5469
1969,3,2,2,2,91,5.1462,4.9533
1969,3,2,2,3,61,3.8552,3.7311
1969,3,2,3,1,22,1.5150,1.3801
1969,3,2,3,2,61,2.6174,2.5249
1969,3,2,3,3,75,3.2906,3.1964
1969,4,1,1,1,139,-0.6154,-0.7906
1969,4,1,1,2,78,2.6083,2.4774
1969,4,1,1,3,62,1.7639,1.6566
1969,4,1,2,1,74,2.2290,2.0053
1969,4,1,2,2,61,0.6036,0.4278
1969,4,1,2,3,58,1.6390,1.5298
1969,4,1,3,1,66,-1.4754,-1.5904
1969,4,1,3,2,63,-0.5155,-0.5916
1969,4,1,3,3,85,1.0562,0.9304
1969,4,2,1,1,35,-0.3128,-0.4939
1969,4,2,1,2,47,1.3264,1.1340
1969,4,2,1,3,13,-0.0068,-0.0161
1969,4,2,2,1,54,1.5296,1.3561
1969,4,2,2,2,90,1.2905,1.1300
1969,4,2,2,3,60,2.6146,2.4789
1969,4,2,3,1,23,-2.2780,-2.3273
1969,4,2,3,2,62,0.6734,0.6446
1969,4,2,3,3,73,4.1310,4.0806
1969,5,1,1,1,149,1.1246,0.8225
1969,5,1,1,2,89,1.5936,1.3860
1969,5,1,1,3,69,-0.6949,-0.9405
1969,5,1,2,1,81,2.0723,1.7437
1969,5,1,2,2,70,0.8668,0.5707
1969,5,1,2,3,59,0.1992,-0.0145
1969,5,1,3,1,83,-1.6602,-1.8019
1969,5,1,3,2,66,-1.3971,-1.5762
1969,5,1,3,3,82,0.6645,0.5702
1969,5,2,1,1,35,2.2331,1.5891
1969,5,2,1,2,43,-2.5566,-3.0967
1969,5,2,1,3,27,1.3164,-0.7088
1969,5,2,2,1,57,-0.1748,-0.6192
1969,5,2,2,2,97,1.5139,1.0595
1969,5,2,2,3,55,2.5242,2.2532
1969,5,2,3,1,38,-1.9303,-2.4389
1969,5,2,3,2,57,-0.7409,-1.3266
1969,5,2,3,3,71,-1.1672,-1.3780
1969,6,1,1,1,156,-12.3568,-12.5745
1969,6,1,1,2,82,-10.3862,-10.6624
1969,6,1,1,3,67,-13.3468,-13.5056
1969,6,1,2,1,84,-10.4711,-10.6237
1969,6,1,2,2,70,-10.2445,-10.4022
1969,6,1,2,3,56,-8.9896,-9.1855
1969,6,1,3,1,79,-14.6959,-14.7823
1969,6,1,3,2,75,-12.1295,-12.2734
1969,6,1,3,3,74,-11.2833,-11.4268
1969,6,2,1,1,34,-10.0445,-10.2097
1969,6,2,1,2,44,-8.0447,-8.1432
1969,6,2,1,3,28,-5.4272,-5.4604
1969,6,2,2,1,55,-8.1418,-8.3739
1969,6,2,2,2,98,-7.1473,-7.3451
1969,6,2,2,3,56,-4.5749,-4.7399
1969,6,2,3,1,41,-8.9206,-9.0104
1969,6,2,3,2,54,-7.7762,-7.8814
1969,6,2,3,3,72,-1.0198,-1.1019
1969,7,1,1,1,152,-9.3500,-9.4836
1969,7,1,1,2,72,-6.3636,-6.6435
1969,7,1,1,3,47,-10.3869,-10.5892
1969,7,1,2,1,92,-9.6964,-9.7707
1969,7,1,2,2,91,-8.5825,-8.8649
1969,7,1,2,3,62,-8.0017,-8.1423
1969,7,1,3,1,105,-14.1647,-14.2589
1969,7,1,3,2,81,-10.7176,-10.8466
1969,7,1,3,3,109,-9.3853,-9.4441
1969,7,2,1,1,54,-6.0386,-6.1261
1969,7,2,1,2,56,-6.5919,-6.8401
1969,7,2,1,3,21,-6.5727,-6.5779
1969,7,2,2,1,51,-7.1257,-7.4045
1969,7,2,2,2,108,-6.4464,-6.6525
1969,7,2,2,3,75,-4.8360,-4.9629
1969,7,2,3,1,22,-10.2024,-10.2580
1969,7,2,3,2,43,-7.8482,-7.9143
1969,7,2,3,3,75,-4.9296,-4.9372
1969,8,1,1,1,150,4.6263,4.2118
1969,8,1,1,2,64,3.6570,3.0617
1969,8,1,1,3,44,3.9242,3.4147
1969,8,1,2,1,88,4.5247,4.1850
1969,8,1,2,2,97,4.2555,3.8788
1969,8,1,2,3,48,4.9918,4.6725
1969,8,1,3,1,99,7.8474,7.6592
1969,8,1,3,2,83,6.2453,5.9670
1969,8,1,3,3,100,7.9886,7.8824
1969,8,2,1,1,44,4.1288,3.4372
1969,8,2,1,2,56,4.0832,3.4873
1969,8,2,1,3,29,1.2243,0.1840
1969,8,2,2,1,50,4.5618,3.9358
1969,8,2,2,2,100,4.1417,3.5463
1969,8,2,2,3,78,5.5022,5.2030
1969,8,2,3,1,20,2.1768,1.8331
1969,8,2,3,2,53,5.9745,5.6419
1969,8,2,3,3,58,7.3351,7.0417
1969,9,1,1,1,142,-1.0211,-1.1604
1969,9,1,1,2,74,-0.3454,-0.4636
1969,9,1,1,3,42,-2.7587,-3.0207
1969,9,1,2,1,83,-1.9850,-2.2196
